thu_tu_uu_tien,chi_so_o_luoi,kinh_do,vi_do,xac_suat_con_vat_no,chi_so_uu_tien,tai_trong_bom_ghi_nhan_tan,so_ho_bom_phat_hien,khoang_cach_khu_dan_cu_m,la_dat_canh_tac,da_ra_pha,ghi_chu
412,29093,106.900238,16.839160,1.0000,0.9867,0.27,0,1590,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
413,10067,107.007286,16.760919,1.0000,0.9867,0.76,0,2700,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
414,10384,106.891786,16.762718,1.0000,0.9867,0.95,0,5000,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
415,5347,106.913384,16.742033,1.0000,0.9867,0.50,0,3611,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
416,10604,106.891786,16.763617,1.0000,0.9867,0.96,0,5000,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
417,12785,106.873945,16.772610,1.0000,0.9866,0.86,2,5400,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
418,11488,106.895543,16.767214,1.0000,0.9866,0.70,0,4683,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
419,9963,106.909628,16.760919,1.0000,0.9866,0.72,0,3141,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
420,11051,106.898360,16.765416,1.0000,0.9866,0.86,0,4300,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
421,16219,106.999774,16.786100,1.0000,0.9865,0.40,0,4507,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
422,27414,106.976298,16.831966,1.0000,0.9865,0.41,0,983,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
423,5013,107.012920,16.740235,1.0000,0.9865,0.42,0,2638,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
424,10297,107.016676,16.761818,1.0000,0.9865,0.40,0,1700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
425,8434,106.919957,16.754624,1.0000,0.9865,0.56,0,2331,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
426,10066,107.006347,16.760919,1.0000,0.9864,0.74,0,2800,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
427,28002,106.908689,16.834664,0.8612,0.9864,0.52,2,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
428,22745,106.930286,16.813080,1.0000,0.9863,0.38,0,2421,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
429,2399,107.037335,16.729443,0.8272,0.9863,0.82,1,141,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
430,9110,106.934981,16.757322,0.8946,0.9863,0.48,1,666,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
431,31956,106.903055,16.850851,1.0000,0.9862,0.42,0,2338,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
432,13844,107.042030,16.776208,0.8780,0.9862,0.18,0,441,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
433,10404,106.910567,16.762718,1.0000,0.9862,0.60,0,3000,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
434,22524,106.929347,16.812180,1.0000,0.9861,0.39,0,2480,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
435,11050,106.897421,16.765416,1.0000,0.9860,0.79,0,4400,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
436,18158,106.961274,16.794194,0.8280,0.9860,0.41,0,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
437,31738,106.904933,16.849952,1.0000,0.9860,0.45,0,2231,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
438,7326,106.912445,16.750127,1.0000,0.9860,0.47,0,3338,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
439,10904,106.966908,16.764516,1.0000,0.9860,0.51,2,1231,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
440,4909,106.915262,16.740235,1.0000,0.9860,0.48,0,3494,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
441,11047,106.894604,16.765416,1.0000,0.9859,0.72,0,4700,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
442,14508,107.045786,16.778906,0.8963,0.9859,0.43,0,907,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
443,3181,106.945311,16.733040,1.0000,0.9859,0.43,4,3197,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
444,1004,106.966908,16.724047,1.0000,0.9859,0.54,0,2366,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
445,7547,106.913384,16.751027,1.0000,0.9858,0.41,0,3197,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
446,10385,106.892725,16.762718,1.0000,0.9858,0.71,0,4900,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
447,12081,107.039213,16.769013,0.8028,0.9858,0.16,2,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
448,1005,106.967847,16.724047,1.0000,0.9858,0.58,0,2324,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
449,16218,106.998835,16.786100,1.0000,0.9858,0.45,0,4407,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
450,12551,106.860799,16.771711,1.0000,0.9858,0.82,1,5956,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
451,7546,106.912445,16.751027,1.0000,0.9858,0.42,0,3297,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
452,7105,106.911506,16.749228,1.0000,0.9857,0.48,0,3480,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
453,34795,106.883335,16.862542,0.8272,0.9857,0.44,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
454,12299,107.037335,16.769912,0.8001,0.9857,0.32,1,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
455,11060,106.906811,16.765416,1.0000,0.9856,0.48,0,3400,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
456,5014,107.013859,16.740235,1.0000,0.9856,0.48,0,2538,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
457,10704,106.985689,16.763617,1.0000,0.9856,0.91,1,2297,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
458,5216,106.996957,16.741134,1.0000,0.9856,0.65,2,2524,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
459,4908,106.914323,16.740235,1.0000,0.9855,0.51,0,3594,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
460,9216,107.034518,16.757322,0.8516,0.9855,0.35,0,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
461,20567,106.950945,16.804087,0.8327,0.9854,0.22,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
462,11269,106.896482,16.766315,1.0000,0.9854,0.70,0,4541,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
463,28001,106.907750,16.834664,0.8379,0.9854,0.46,2,583,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
464,11053,106.900238,16.765416,1.0000,0.9854,0.77,0,4100,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
465,15572,107.011981,16.783402,1.0000,0.9854,0.42,2,3197,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
466,8751,107.011042,16.755523,1.0000,0.9854,0.73,0,2466,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
467,19694,106.957518,16.800489,0.8064,0.9852,0.21,0,200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
468,11552,106.955640,16.767214,0.8859,0.9852,0.63,2,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
469,30176,106.884274,16.843657,1.0000,0.9852,0.84,0,2100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
470,8049,106.971603,16.752825,0.8778,0.9852,0.29,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
471,7616,106.978176,16.751027,0.8741,0.9852,0.43,0,566,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
472,24495,106.920896,16.820274,0.9018,0.9852,0.27,0,1207,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
473,9805,106.967847,16.760020,0.8953,0.9852,0.74,0,1524,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
474,11610,107.010103,16.767214,1.0000,0.9851,0.46,0,2607,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
475,27349,106.915262,16.831966,0.7719,0.9851,0.75,2,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
476,31273,106.881457,16.848153,0.8930,0.9850,0.50,0,1641,co,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
477,26251,106.917140,16.827469,0.8014,0.9850,0.69,2,241,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
478,9630,107.010103,16.759120,1.0000,0.9849,0.65,0,2400,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
479,10261,106.982872,16.761818,1.0000,0.9849,1.34,2,1973,khong,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
480,9523,106.909628,16.759120,1.0000,0.9849,0.49,0,3224,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
481,4907,106.913384,16.740235,1.0000,0.9849,0.46,0,3694,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
482,8702,106.965030,16.755523,0.8758,0.9848,0.28,1,1149,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
483,11273,106.900238,16.766315,1.0000,0.9848,0.60,0,4141,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
484,26521,106.964091,16.828368,0.8197,0.9848,0.21,0,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
485,26689,106.915262,16.829268,0.7644,0.9847,0.86,1,0,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
486,35447,106.875823,16.865240,0.8510,0.9847,0.23,0,700,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
487,10461,106.964091,16.762718,0.8862,0.9847,0.29,0,1249,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
488,13618,107.036396,16.775308,0.8110,0.9847,0.71,0,341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
489,5234,107.013859,16.741134,1.0000,0.9846,0.50,0,2580,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
490,4775,106.996018,16.739335,1.0000,0.9846,0.50,5,2507,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
491,12734,107.032640,16.771711,0.8183,0.9845,0.76,0,500,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
492,11201,107.039213,16.765416,0.8044,0.9845,0.30,0,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
493,10714,106.995079,16.763617,1.0000,0.9845,0.37,0,2946,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
494,28875,106.902116,16.838261,0.8440,0.9845,0.21,0,1349,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
495,10238,106.961274,16.761818,0.8696,0.9845,0.69,0,1224,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
496,12130,106.878640,16.769912,1.0000,0.9844,0.73,0,5866,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
497,2715,106.920896,16.731242,1.0000,0.9844,0.48,1,4187,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
498,12964,107.042030,16.772610,0.7977,0.9844,0.07,0,100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
499,11272,106.899299,16.766315,1.0000,0.9844,0.70,0,4241,khong,khong,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
500,14271,107.029823,16.778006,0.8382,0.9844,0.45,0,1049,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
